Phi[deg],Theta[deg],GainRHCP
174,6,3.47039
176,6,3.47105
178,6,3.47175
180,6,3.4725
-180,8,3.4178
-178,8,3.41863
-176,8,3.41958
-174,8,3.42067
-172,8,3.42187
-170,8,3.42321
-168,8,3.42466
-166,8,3.42624
-164,8,3.42794
-162,8,3.42975
-160,8,3.43166
-158,8,3.43367
-156,8,3.43577
-154,8,3.43796
-152,8,3.44021
-150,8,3.44253
-148,8,3.44489
-146,8,3.44729
-144,8,3.44971
-142,8,3.45214
-140,8,3.45456
-138,8,3.45697
-136,8,3.45933
-134,8,3.46164
-132,8,3.46388
-130,8,3.46604
-128,8,3.46809
-126,8,3.47003
-124,8,3.47183
-122,8,3.47348
-120,8,3.47497
-118,8,3.47627
-116,8,3.47738
-114,8,3.47829
-112,8,3.47896
-110,8,3.47941
-108,8,3.47961
-106,8,3.47955
-104,8,3.47923
-102,8,3.47863
-100,8,3.47775
-98,8,3.47658
-96,8,3.47512
-94,8,3.47337
-92,8,3.47131
-90,8,3.46895
-88,8,3.4663
-86,8,3.46335
-84,8,3.4601
-82,8,3.45656
-80,8,3.45274
-78,8,3.44863
-76,8,3.44426
-74,8,3.43962
-72,8,3.43474
-70,8,3.42961
-68,8,3.42426
-66,8,3.41869
-64,8,3.41292
-62,8,3.40697
-60,8,3.40085
-58,8,3.39458
-56,8,3.38818
-54,8,3.38166
-52,8,3.37504
-50,8,3.36835
-48,8,3.3616
-46,8,3.35481
-44,8,3.34801
-42,8,3.34121
-40,8,3.33443
-38,8,3.32769
-36,8,3.32102
-34,8,3.31443
-32,8,3.30794
-30,8,3.30158
-28,8,3.29536
-26,8,3.2893
-24,8,3.28342
-22,8,3.27774
-20,8,3.27227
-18,8,3.26703
-16,8,3.26204
-14,8,3.25731
-12,8,3.25285
-10,8,3.24868
-8,8,3.24481
-6,8,3.24124
-4,8,3.238
-2,8,3.23509
0,8,3.23252
2,8,3.23028
4,8,3.2284
6,8,3.22686
8,8,3.22569
10,8,3.22486
12,8,3.2244
14,8,3.22429
16,8,3.22453
18,8,3.22513
20,8,3.22607
22,8,3.22734
24,8,3.22895
26,8,3.23089
28,8,3.23314
30,8,3.23569
32,8,3.23853
34,8,3.24166
36,8,3.24505
38,8,3.24869
40,8,3.25257
42,8,3.25667
44,8,3.26098
46,8,3.26547
48,8,3.27013
50,8,3.27494
52,8,3.27988
54,8,3.28494
56,8,3.29009
58,8,3.29532
60,8,3.30061
62,8,3.30594
64,8,3.31128
66,8,3.31663
68,8,3.32196
70,8,3.32726
72,8,3.3325
74,8,3.33768
76,8,3.34278
78,8,3.34777
80,8,3.35266
82,8,3.35742
84,8,3.36204
86,8,3.36651
88,8,3.37082
90,8,3.37496
92,8,3.37893
94,8,3.38271
96,8,3.3863
98,8,3.38969
100,8,3.39288
102,8,3.39587
104,8,3.39865
106,8,3.40123
108,8,3.40361
110,8,3.40578
112,8,3.40775
114,8,3.40953
116,8,3.41111
118,8,3.41251
120,8,3.41372
122,8,3.41477
124,8,3.41564
126,8,3.41636
128,8,3.41694
130,8,3.41738
132,8,3.41769
134,8,3.41789
136,8,3.41798
138,8,3.41798
140,8,3.4179
142,8,3.41775
144,8,3.41755
146,8,3.41731
148,8,3.41703
150,8,3.41674
152,8,3.41644
154,8,3.41615
156,8,3.41588
158,8,3.41564
160,8,3.41544
162,8,3.41529
164,8,3.41521
166,8,3.41519
168,8,3.41526
170,8,3.41542
172,8,3.41568
174,8,3.41604
176,8,3.41651
178,8,3.4171
180,8,3.4178
-180,10,3.34457
-178,10,3.34528
-176,10,3.34621
-174,10,3.34735
-172,10,3.34873
-170,10,3.35033
-168,10,3.35215
-166,10,3.35419
-164,10,3.35645
-162,10,3.35891
-160,10,3.36157
-158,10,3.36442
-156,10,3.36745
-154,10,3.37065
-152,10,3.37399
-150,10,3.37747
-148,10,3.38106
-146,10,3.38475
-144,10,3.38851
-142,10,3.39232
-140,10,3.39617
-138,10,3.40003
-136,10,3.40386
-134,10,3.40766
-132,10,3.41139
-130,10,3.41503
-128,10,3.41855
-126,10,3.42192
-124,10,3.42512
-122,10,3.42813
-120,10,3.43092
-118,10,3.43346
-116,10,3.43574
-114,10,3.43772
-112,10,3.43939
-110,10,3.44073
-108,10,3.44173
-106,10,3.44235
-104,10,3.44259
-102,10,3.44243
-100,10,3.44187
-98,10,3.44088
-96,10,3.43947
-94,10,3.43763
-92,10,3.43534
-90,10,3.43262
-88,10,3.42946
-86,10,3.42586
-84,10,3.42182
-82,10,3.41736
-80,10,3.41247
-78,10,3.40717
-76,10,3.40148
-74,10,3.39539
-72,10,3.38894
-70,10,3.38213
-68,10,3.37498
-66,10,3.36752
-64,10,3.35977
-62,10,3.35174
-60,10,3.34346
-58,10,3.33495
-56,10,3.32625
-54,10,3.31737
-52,10,3.30835
-50,10,3.29921
-48,10,3.28998
-46,10,3.28069
-44,10,3.27137
-42,10,3.26205
-40,10,3.25275
-38,10,3.2435
-36,10,3.23435
-34,10,3.2253
-32,10,3.2164
-30,10,3.20767
-28,10,3.19913
-26,10,3.19082
-24,10,3.18276
-22,10,3.17497
-20,10,3.16749
-18,10,3.16032
-16,10,3.1535
-14,10,3.14705
-12,10,3.14099
-10,10,3.13533
-8,10,3.13009
-6,10,3.12529
-4,10,3.12094
-2,10,3.11706
0,10,3.11365
2,10,3.11073
4,10,3.1083
6,10,3.10636
8,10,3.10494
10,10,3.10401
12,10,3.1036
14,10,3.10368
16,10,3.10427
18,10,3.10536
20,10,3.10693
22,10,3.10898
24,10,3.11151
26,10,3.11449
28,10,3.11792
30,10,3.12177
32,10,3.12603
34,10,3.13069
36,10,3.13572
38,10,3.1411
40,10,3.14681
42,10,3.15282
44,10,3.15912
46,10,3.16566
48,10,3.17243
50,10,3.17941
52,10,3.18655
54,10,3.19384
56,10,3.20124
58,10,3.20873
60,10,3.21628
62,10,3.22385
64,10,3.23143
66,10,3.23899
68,10,3.24649
70,10,3.25391
72,10,3.26123
74,10,3.26842
76,10,3.27546
78,10,3.28233
80,10,3.289
82,10,3.29546
84,10,3.30168
86,10,3.30766
88,10,3.31338
90,10,3.31882
92,10,3.32397
94,10,3.32882
96,10,3.33337
98,10,3.3376
100,10,3.34152
102,10,3.34512
104,10,3.3484
106,10,3.35136
108,10,3.35399
110,10,3.35632
112,10,3.35833
114,10,3.36005
116,10,3.36147
118,10,3.3626
120,10,3.36346
122,10,3.36406
124,10,3.36441
126,10,3.36453
128,10,3.36443
130,10,3.36412
132,10,3.36363
134,10,3.36298
136,10,3.36217
138,10,3.36123
140,10,3.36018
142,10,3.35904
144,10,3.35783
146,10,3.35656
148,10,3.35526
150,10,3.35395
152,10,3.35264
154,10,3.35135
156,10,3.35011
158,10,3.34893
160,10,3.34784
162,10,3.34683
164,10,3.34594
166,10,3.34518
168,10,3.34457
170,10,3.34411
172,10,3.34382
174,10,3.34371
176,10,3.34379
178,10,3.34408
180,10,3.34457
-180,12,3.25535
-178,12,3.25578
-176,12,3.25654
-174,12,3.25763
-172,12,3.25906
-170,12,3.26084
-168,12,3.26295
-166,12,3.2654
-164,12,3.26819
-162,12,3.2713
-160,12,3.27472
-158,12,3.27845
-156,12,3.28246
-154,12,3.28675
-152,12,3.29128
-150,12,3.29604
-148,12,3.30101
-146,12,3.30615
-144,12,3.31143
-142,12,3.31684
-140,12,3.32233
-138,12,3.32787
-136,12,3.33343
-134,12,3.33898
-132,12,3.34446
-130,12,3.34986
-128,12,3.35512
-126,12,3.36022
-124,12,3.36511
-122,12,3.36976
-120,12,3.37413
-118,12,3.37819
-116,12,3.3819
-114,12,3.38523
-112,12,3.38815
-110,12,3.39063
-108,12,3.39263
-106,12,3.39415
-104,12,3.39515
-102,12,3.39561
-100,12,3.39551
-98,12,3.39485
-96,12,3.39361
-94,12,3.39177
-92,12,3.38934
-90,12,3.38631
-88,12,3.38268
-86,12,3.37845
-84,12,3.37363
-82,12,3.36822
-80,12,3.36224
-78,12,3.35569
-76,12,3.34861
-74,12,3.34099
-72,12,3.33288
-70,12,3.32428
-68,12,3.31522
-66,12,3.30574
-64,12,3.29585
-62,12,3.28559
-60,12,3.275
-58,12,3.2641
-56,12,3.25293
-54,12,3.24153
-52,12,3.22992
-50,12,3.21816
-48,12,3.20627
-46,12,3.1943
-44,12,3.18229
-42,12,3.17026
-40,12,3.15827
-38,12,3.14634
-36,12,3.13453
-34,12,3.12286
-32,12,3.11137
-30,12,3.1001
-28,12,3.08909
-26,12,3.07838
-24,12,3.06798
-22,12,3.05795
-20,12,3.04831
-18,12,3.03909
-16,12,3.03032
-14,12,3.02204
-12,12,3.01425
-10,12,3.007
-8,12,3.0003
-6,12,2.99418
-4,12,2.98865
-2,12,2.98373
0,12,2.97944
2,12,2.97579
4,12,2.97278
6,12,2.97044
8,12,2.96876
10,12,2.96775
