Phi[deg],Theta[deg],RealizedGainTheta
-118,8,3.89242
-116,8,3.881
-114,8,3.86218
-112,8,3.83612
-110,8,3.80302
-108,8,3.76312
-106,8,3.71669
-104,8,3.66401
-102,8,3.60542
-100,8,3.54125
-98,8,3.47188
-96,8,3.3977
-94,8,3.31911
-92,8,3.23655
-90,8,3.15045
-88,8,3.06125
-86,8,2.96942
-84,8,2.87542
-82,8,2.7797
-80,8,2.68274
-78,8,2.58501
-76,8,2.48696
-74,8,2.38904
-72,8,2.29171
-70,8,2.1954
-68,8,2.10053
-66,8,2.00752
-64,8,1.91677
-62,8,1.82865
-60,8,1.74352
-58,8,1.66174
-56,8,1.58362
-54,8,1.50947
-52,8,1.43957
-50,8,1.37418
-48,8,1.31355
-46,8,1.25789
-44,8,1.20739
-42,8,1.16222
-40,8,1.12255
-38,8,1.08849
-36,8,1.06015
-34,8,1.03761
-32,8,1.02095
-30,8,1.01019
-28,8,1.00537
-26,8,1.00649
-24,8,1.01352
-22,8,1.02643
-20,8,1.04516
-18,8,1.06964
-16,8,1.09977
-14,8,1.13544
-12,8,1.17652
-10,8,1.22286
-8,8,1.27429
-6,8,1.33064
-4,8,1.39169
-2,8,1.45724
0,8,1.52705
2,8,1.60087
4,8,1.67841
6,8,1.75941
8,8,1.84356
10,8,1.93054
12,8,2.02001
14,8,2.11163
16,8,2.20504
18,8,2.29984
20,8,2.39567
22,8,2.4921
24,8,2.58873
26,8,2.68513
28,8,2.78088
30,8,2.87552
32,8,2.96863
34,8,3.05974
36,8,3.14842
38,8,3.23422
40,8,3.31668
42,8,3.39538
44,8,3.46989
46,8,3.53979
48,8,3.60466
50,8,3.66413
52,8,3.71782
54,8,3.76539
56,8,3.80651
58,8,3.84089
60,8,3.86826
62,8,3.88839
64,8,3.90108
66,8,3.90616
68,8,3.90351
70,8,3.89304
72,8,3.87472
74,8,3.84853
76,8,3.81454
78,8,3.77282
80,8,3.72352
82,8,3.6668
84,8,3.6029
86,8,3.53208
88,8,3.45465
90,8,3.37097
92,8,3.28143
94,8,3.18646
96,8,3.08654
98,8,2.98217
100,8,2.87388
102,8,2.76222
104,8,2.64781
106,8,2.53123
108,8,2.41311
110,8,2.2941
112,8,2.17485
114,8,2.05601
116,8,1.93823
118,8,1.82219
120,8,1.70851
122,8,1.59784
124,8,1.49081
126,8,1.38801
128,8,1.29004
130,8,1.19743
132,8,1.11072
134,8,1.03039
136,8,0.956904
138,8,0.890673
140,8,0.832069
142,8,0.781421
144,8,0.73901
146,8,0.70507
148,8,0.679785
150,8,0.663289
152,8,0.655665
154,8,0.656943
156,8,0.667104
158,8,0.686077
160,8,0.713739
162,8,0.74992
164,8,0.794401
166,8,0.846915
168,8,0.907153
170,8,0.974762
172,8,1.04935
174,8,1.13049
176,8,1.2177
178,8,1.31051
180,8,1.40838
-180,10,1.36841
-178,10,1.47106
-176,10,1.57751
-174,10,1.68717
-172,10,1.7994
-170,10,1.91359
-168,10,2.02911
-166,10,2.14532
-164,10,2.26161
-162,10,2.37734
-160,10,2.4919
-158,10,2.60469
-156,10,2.71514
-154,10,2.82266
-152,10,2.92673
-150,10,3.02681
-148,10,3.12243
-146,10,3.21312
-144,10,3.29845
-142,10,3.37803
-140,10,3.4515
-138,10,3.51854
-136,10,3.57886
-134,10,3.63222
-132,10,3.67841
-130,10,3.71728
-128,10,3.7487
-126,10,3.77259
-124,10,3.78892
-122,10,3.79766
-120,10,3.79888
-118,10,3.79265
-116,10,3.77908
-114,10,3.75833
-112,10,3.73059
-110,10,3.69607
-108,10,3.65504
-106,10,3.60777
-104,10,3.55458
-102,10,3.4958
-100,10,3.43179
-98,10,3.36294
-96,10,3.28964
-94,10,3.2123
-92,10,3.13136
-90,10,3.04726
-88,10,2.96043
-86,10,2.87134
-84,10,2.78043
-82,10,2.68816
-80,10,2.59499
-78,10,2.50136
-76,10,2.40772
-74,10,2.31449
-72,10,2.2221
-70,10,2.13095
-68,10,2.04144
-66,10,1.95396
-64,10,1.86885
-62,10,1.78646
-60,10,1.70712
-58,10,1.63112
-56,10,1.55875
-54,10,1.49026
-52,10,1.4259
-50,10,1.36589
-48,10,1.3104
-46,10,1.25963
-44,10,1.21371
-42,10,1.17279
-40,10,1.13697
-38,10,1.10634
-36,10,1.08098
-34,10,1.06093
-32,10,1.04624
-30,10,1.03692
-28,10,1.03298
-26,10,1.03441
-24,10,1.04117
-22,10,1.05323
-20,10,1.07054
-18,10,1.09302
-16,10,1.12059
-14,10,1.15315
-12,10,1.19061
-10,10,1.23285
-8,10,1.27972
-6,10,1.33108
-4,10,1.38678
-2,10,1.44664
0,10,1.51048
2,10,1.5781
4,10,1.64927
6,10,1.72378
8,10,1.80137
10,10,1.88178
12,10,1.96474
14,10,2.04995
16,10,2.1371
18,10,2.22587
20,10,2.31591
22,10,2.40686
24,10,2.49837
26,10,2.59003
28,10,2.68145
30,10,2.77222
32,10,2.86192
34,10,2.95013
36,10,3.0364
38,10,3.1203
40,10,3.20138
42,10,3.27921
44,10,3.35335
46,10,3.42336
48,10,3.48882
50,10,3.54932
52,10,3.60447
54,10,3.65388
56,10,3.6972
58,10,3.73411
60,10,3.76428
62,10,3.78746
64,10,3.80339
66,10,3.81188
68,10,3.81275
70,10,3.80589
72,10,3.7912
74,10,3.76866
76,10,3.73826
78,10,3.70006
80,10,3.65416
82,10,3.60071
84,10,3.53991
86,10,3.47201
88,10,3.39729
90,10,3.31609
92,10,3.2288
94,10,3.13584
96,10,3.03767
98,10,2.9348
100,10,2.82776
102,10,2.71712
104,10,2.60348
106,10,2.48745
108,10,2.36969
110,10,2.25083
112,10,2.13156
114,10,2.01255
116,10,1.89447
118,10,1.77801
120,10,1.66383
122,10,1.5526
124,10,1.44496
126,10,1.34154
128,10,1.24293
130,10,1.14972
132,10,1.06244
134,10,0.981607
136,10,0.907681
138,10,0.841094
140,10,0.782228
142,10,0.731418
144,10,0.688953
146,10,0.655068
148,10,0.629949
150,10,0.613726
152,10,0.606479
154,10,0.608231
156,10,0.618953
158,10,0.638563
160,10,0.666926
162,10,0.703858
164,10,0.749121
166,10,0.802435
168,10,0.863471
170,10,0.931858
172,10,1.00718
174,10,1.089
176,10,1.17682
178,10,1.27014
180,10,1.36841
-180,12,1.32472
-178,12,1.4269
-176,12,1.5327
-174,12,1.64151
-172,12,1.75272
-170,12,1.86568
-168,12,1.97978
-166,12,2.09437
-164,12,2.20883
-162,12,2.32255
-160,12,2.43492
-158,12,2.54533
-156,12,2.65323
-154,12,2.75805
-152,12,2.85927
-150,12,2.95639
-148,12,3.04892
-146,12,3.13644
-144,12,3.21853
-142,12,3.29481
-140,12,3.36496
-138,12,3.42866
-136,12,3.48567
-134,12,3.53576
-132,12,3.57874
-130,12,3.61449
-128,12,3.6429
-126,12,3.66392
-124,12,3.67752
-122,12,3.68373
-120,12,3.68261
-118,12,3.67426
-116,12,3.65882
-114,12,3.63645
-112,12,3.60737
-110,12,3.57182
-108,12,3.53005
-106,12,3.48237
-104,12,3.42911
-102,12,3.3706
-100,12,3.30722
-98,12,3.23935
-96,12,3.16739
-94,12,3.09178
-92,12,3.01292
-90,12,2.93127
-88,12,2.84725
-86,12,2.76133
-84,12,2.67393
-82,12,2.58552
-80,12,2.49651
-78,12,2.40736
-76,12,2.31846
-74,12,2.23025
-72,12,2.14311
-70,12,2.05743
-68,12,1.97356
-66,12,1.89186
-64,12,1.81265
-62,12,1.73623
-60,12,1.66289
-58,12,1.59289
-56,12,1.52647
-54,12,1.46384
-52,12,1.4052
-50,12,1.35072
-48,12,1.30055
-46,12,1.25482
-44,12,1.21363
-42,12,1.17708
-40,12,1.14524
-38,12,1.11816
-36,12,1.09587
-34,12,1.0784
-32,12,1.06575
-30,12,1.05793
-28,12,1.05491
-26,12,1.05666
-24,12,1.06316
-22,12,1.07435
-20,12,1.09019
-18,12,1.1106
-16,12,1.13552
-14,12,1.16487
-12,12,1.19858
-10,12,1.23654
-8,12,1.27865
-6,12,1.32482
-4,12,1.37493
-2,12,1.42884
0,12,1.48642
2,12,1.54753
4,12,1.612
6,12,1.67966
8,12,1.75033
10,12,1.82379
12,12,1.89984
14,12,1.97823
16,12,2.0587
18,12,2.141
20,12,2.22482
22,12,2.30986
24,12,2.39579
26,12,2.48227
28,12,2.56892
30,12,2.65538
32,12,2.74124
34,12,2.82611
36,12,2.90955
38,12,2.99114
40,12,3.07045
42,12,3.14702
44,12,3.22041
46,12,3.29019
48,12,3.3559
50,12,3.41713
52,12,3.47344
54,12,3.52443
56,12,3.56971
58,12,3.60892
60,12,3.64171
62,12,3.66778
64,12,3.68684
66,12,3.69864
68,12,3.70298
70,12,3.69969
72,12,3.68866
74,12,3.6698
76,12,3.64308
78,12,3.60853
80,12,3.56621
82,12,3.51624
84,12,3.4588
86,12,3.39411
88,12,3.32244
90,12,3.24411
92,12,3.15949
94,12,3.06899
96,12,2.97308
98,12,2.87225
100,12,2.76704
102,12,2.65802
104,12,2.5458
106,12,2.431
108,12,2.31427
110,12,2.19629
112,12,2.07773
114,12,1.9593
116,12,1.84167
118,12,1.72556
120,12,1.61165
122,12,1.50061
124,12,1.39311
126,12,1.2898
128,12,1.19129
130,12,1.09816
132,12,1.01098
134,12,0.93027
136,12,0.856501
138,12,0.790111
140,12,0.731489
142,12,0.680976
144,12,0.638859
146,12,0.605375
148,12,0.580706
150,12,0.564979
152,12,0.558266
154,12,0.560581
156,12,0.571887
158,12,0.592088
160,12,0.621037
162,12,0.658534
164,12,0.704329
166,12,0.758124
168,12,0.819574
170,12,0.888292
172,12,0.963851
174,12,1.04579
176,12,1.1336
178,12,1.22676
180,12,1.32472
-180,14,1.27791
-178,14,1.37891
-176,14,1.48332
-174,14,1.59054
-172,14,1.69993
-170,14,1.81088
-168,14,1.92275
-166,14,2.03493
-164,14,2.14678
-162,14,2.25771
-160,14,2.36711
-158,14,2.4744
-156,14,2.57904
-154,14,2.68048
-152,14,2.77821
-150,14,2.87175
-148,14,2.96064
-146,14,3.04447
-144,14,3.12286
-142,14,3.19544
-140,14,3.26192
-138,14,3.322
-136,14,3.37546
-134,14,3.4221
-132,14,3.46176
-130,14,3.49433
-128,14,3.51973
-126,14,3.53792
-124,14,3.5489
-122,14,3.55272
-120,14,3.54947
-118,14,3.53924
-116,14,3.52221
-114,14,3.49855
-112,14,3.46848
-110,14,3.43226
-108,14,3.39015
-106,14,3.34248
-104,14,3.28957
-102,14,3.23177
-100,14,3.16945
-98,14,3.10301
-96,14,3.03285
-94,14,2.95938
-92,14,2.88304
-90,14,2.80425
-88,14,2.72344
-86,14,2.64107
-84,14,2.55755
-82,14,2.47332
-80,14,2.38881
-78,14,2.30442
-76,14,2.22057
-74,14,2.13763
-72,14,2.05598
-70,14,1.97597
-68,14,1.89794
-66,14,1.82221
-64,14,1.74905
-62,14,1.67875
-60,14,1.61155
-58,14,1.54767
-56,14,1.48731
-54,14,1.43063
-52,14,1.3778
-50,14,1.32895
-48,14,1.28416
-46,14,1.24354
-44,14,1.20715
-42,14,1.17503
-40,14,1.14722
-38,14,1.12372
-36,14,1.10455
-34,14,1.08969
-32,14,1.07911
-30,14,1.0728
-28,14,1.07071
-26,14,1.0728
-24,14,1.07902
-22,14,1.08933
-20,14,1.10366
-18,14,1.12196
-16,14,1.14418
-14,14,1.17024
-12,14,1.2001
-10,14,1.23369
-8,14,1.27093
-6,14,1.31177
-4,14,1.35613
-2,14,1.40392
0,14,1.45506
2,14,1.50946
4,14,1.56701
6,14,1.6276
8,14,1.69109
10,14,1.75735
12,14,1.8262
14,14,1.89748
16,14,1.97099
18,14,2.0465
20,14,2.12378
22,14,2.20257
24,14,2.28259
26,14,2.36354
28,14,2.44507
30,14,2.52686
32,14,2.60853
34,14,2.68969
36,14,2.76994
38,14,2.84887
40,14,2.92603
42,14,3.00099
44,14,3.07329
46,14,3.14249
48,14,3.20812
50,14,3.26974
52,14,3.32691
54,14,3.37919
56,14,3.42615
58,14,3.46741
60,14,3.50259
62,14,3.53133
64,14,3.55333
66,14,3.56829
