Phi[deg],Theta[deg],RealizedGainPhi
-52,4,0.0932263
-50,4,0.0890844
-48,4,0.0848149
-46,4,0.0804418
-44,4,0.0759901
-42,4,0.0714857
-40,4,0.0669554
-38,4,0.0624267
-36,4,0.0579274
-34,4,0.0534856
-32,4,0.0491295
-30,4,0.0448869
-28,4,0.0407855
-26,4,0.0368521
-24,4,0.033113
-22,4,0.0295933
-20,4,0.0263167
-18,4,0.0233056
-16,4,0.0205809
-14,4,0.0181615
-12,4,0.0160642
-10,4,0.0143041
-8,4,0.0128936
-6,4,0.0118431
-4,4,0.0111603
-2,4,0.0108506
0,4,0.0109167
2,4,0.0113589
4,4,0.0121749
6,4,0.0133599
8,4,0.0149065
10,4,0.0168052
12,4,0.019044
14,4,0.0216089
16,4,0.0244838
18,4,0.0276507
20,4,0.0310901
22,4,0.0347806
24,4,0.0387
26,4,0.0428244
28,4,0.0471295
30,4,0.0515897
32,4,0.0561794
34,4,0.0608722
36,4,0.065642
38,4,0.0704624
40,4,0.0753073
42,4,0.0801512
44,4,0.0849688
46,4,0.0897359
48,4,0.0944287
50,4,0.0990247
52,4,0.103502
54,4,0.107841
56,4,0.112022
58,4,0.116026
60,4,0.119838
62,4,0.123442
64,4,0.126824
66,4,0.129972
68,4,0.132875
70,4,0.135523
72,4,0.137908
74,4,0.140023
76,4,0.141862
78,4,0.143422
80,4,0.144698
82,4,0.145691
84,4,0.146399
86,4,0.146823
88,4,0.146965
90,4,0.146828
92,4,0.146416
94,4,0.145734
96,4,0.144788
98,4,0.143585
100,4,0.142134
102,4,0.140442
104,4,0.13852
106,4,0.136378
108,4,0.134027
110,4,0.131479
112,4,0.128746
114,4,0.125842
116,4,0.12278
118,4,0.119574
120,4,0.116238
122,4,0.112788
124,4,0.109239
126,4,0.105605
128,4,0.101903
130,4,0.0981472
132,4,0.0943543
134,4,0.0905396
136,4,0.0867186
138,4,0.0829064
140,4,0.0791182
142,4,0.0753688
144,4,0.0716726
146,4,0.0680437
148,4,0.0644956
150,4,0.0610415
152,4,0.0576939
154,4,0.0544651
156,4,0.0513664
158,4,0.0484088
160,4,0.0456026
162,4,0.0429575
164,4,0.0404824
166,4,0.0381857
168,4,0.0360753
170,4,0.0341582
172,4,0.0324407
174,4,0.0309287
176,4,0.0296272
178,4,0.0285406
180,4,0.0276726
-180,6,0.0325557
-178,6,0.0317796
-176,6,0.0311158
-174,6,0.030568
-172,6,0.0301395
-170,6,0.029834
-168,6,0.0296551
-166,6,0.0296062
-164,6,0.0296907
-162,6,0.0299116
-160,6,0.0302715
-158,6,0.0307727
-156,6,0.0314166
-154,6,0.0322043
-152,6,0.0331358
-150,6,0.0342104
-148,6,0.0354266
-146,6,0.0367815
-144,6,0.0382718
-142,6,0.0398926
-140,6,0.0416384
-138,6,0.0435022
-136,6,0.0454764
-134,6,0.0475522
-132,6,0.04972
-130,6,0.051969
-128,6,0.0542879
-126,6,0.0566647
-124,6,0.0590866
-122,6,0.0615404
-120,6,0.0640121
-118,6,0.066488
-116,6,0.0689535
-114,6,0.0713942
-112,6,0.0737956
-110,6,0.0761432
-108,6,0.0784225
-106,6,0.0806195
-104,6,0.0827202
-102,6,0.084711
-100,6,0.0865786
-98,6,0.0883104
-96,6,0.0898942
-94,6,0.0913181
-92,6,0.0925712
-90,6,0.093643
-88,6,0.0945239
-86,6,0.0952048
-84,6,0.0956777
-82,6,0.0959352
-80,6,0.0959711
-78,6,0.09578
-76,6,0.0953577
-74,6,0.094701
-72,6,0.0938083
-70,6,0.092679
-68,6,0.091314
-66,6,0.0897158
-64,6,0.0878884
-62,6,0.0858374
-60,6,0.0835703
-58,6,0.0810962
-56,6,0.0784261
-54,6,0.0755729
-52,6,0.0725512
-50,6,0.0693774
-48,6,0.0660699
-46,6,0.0626485
-44,6,0.0591348
-42,6,0.0555518
-40,6,0.0519237
-38,6,0.0482761
-36,6,0.0446351
-34,6,0.0410281
-32,6,0.0374824
-30,6,0.0340258
-28,6,0.0306859
-26,6,0.0274901
-24,6,0.0244649
-22,6,0.0216361
-20,6,0.0190282
