Phi[deg],Theta[deg],RealizedGainPhi
94,6,2.41048
96,6,2.28314
98,6,2.15668
100,6,2.03182
102,6,1.90928
104,6,1.78976
106,6,1.67397
108,6,1.56259
110,6,1.45628
112,6,1.35566
114,6,1.26135
116,6,1.17391
118,6,1.09386
120,6,1.02168
122,6,0.957825
124,6,0.902661
126,6,0.856525
128,6,0.819688
130,6,0.792364
132,6,0.774705
134,6,0.766803
136,6,0.768683
138,6,0.780308
140,6,0.801576
142,6,0.832324
144,6,0.872323
146,6,0.921289
148,6,0.978875
150,6,1.04468
152,6,1.11826
154,6,1.1991
156,6,1.28666
158,6,1.38035
160,6,1.47955
162,6,1.58361
164,6,1.69185
166,6,1.80357
168,6,1.91805
170,6,2.03458
172,6,2.15241
174,6,2.27083
176,6,2.3891
178,6,2.50653
180,6,2.6224
-180,8,2.44343
-178,8,2.55058
-176,8,2.65426
-174,8,2.75387
-172,8,2.84883
-170,8,2.93862
-168,8,3.02278
-166,8,3.10087
-164,8,3.17251
-162,8,3.23736
-160,8,3.29514
-158,8,3.34561
-156,8,3.38858
-154,8,3.42392
-152,8,3.45153
-150,8,3.47138
-148,8,3.48345
-146,8,3.48779
-144,8,3.48449
-142,8,3.47367
-140,8,3.4555
-138,8,3.43019
-136,8,3.39796
-134,8,3.35909
-132,8,3.31387
-130,8,3.26263
-128,8,3.20572
-126,8,3.14351
-124,8,3.0764
-122,8,3.00478
-120,8,2.92909
-118,8,2.84976
-116,8,2.76723
-114,8,2.68194
-112,8,2.59434
-110,8,2.50489
-108,8,2.41403
-106,8,2.32221
-104,8,2.22985
-102,8,2.13739
-100,8,2.04524
-98,8,1.95381
-96,8,1.86348
-94,8,1.77463
-92,8,1.68763
-90,8,1.6028
-88,8,1.52048
-86,8,1.44098
-84,8,1.36459
-82,8,1.29158
-80,8,1.2222
-78,8,1.1567
-76,8,1.0953
-74,8,1.03821
-72,8,0.985602
-70,8,0.937663
-68,8,0.894544
-66,8,0.856386
-64,8,0.823315
-62,8,0.795438
-60,8,0.772847
-58,8,0.755619
-56,8,0.743813
-54,8,0.737471
-52,8,0.736619
-50,8,0.741263
-48,8,0.751392
-46,8,0.766979
-44,8,0.787975
-42,8,0.814314
-40,8,0.845911
-38,8,0.882663
-36,8,0.924447
-34,8,0.971122
-32,8,1.02253
-30,8,1.0785
-28,8,1.13884
-26,8,1.20335
-24,8,1.27179
-22,8,1.34395
-20,8,1.41958
-18,8,1.49843
-16,8,1.58023
-14,8,1.66471
-12,8,1.75159
-10,8,1.84059
-8,8,1.93142
-6,8,2.02379
-4,8,2.1174
-2,8,2.21195
0,8,2.30713
2,8,2.40264
4,8,2.49816
6,8,2.59338
8,8,2.68797
10,8,2.78161
12,8,2.87398
14,8,2.96473
16,8,3.05352
18,8,3.14001
