Phi[deg],Theta[deg],dB(RealizedGainTotal)
142,14,4.00513
144,14,4.04129
146,14,4.0764
148,14,4.11024
150,14,4.1426
152,14,4.17329
154,14,4.20211
156,14,4.22887
158,14,4.25338
160,14,4.27548
162,14,4.29499
164,14,4.31176
166,14,4.32563
168,14,4.33648
170,14,4.34416
172,14,4.34856
174,14,4.34956
176,14,4.34707
178,14,4.34099
180,14,4.33124
-180,16,3.53371
-178,16,3.52005
-176,16,3.50111
-174,16,3.4768
-172,16,3.44706
-170,16,3.41183
-168,16,3.37106
-166,16,3.32473
-164,16,3.27282
-162,16,3.21537
-160,16,3.15238
-158,16,3.08394
-156,16,3.01013
-154,16,2.93107
-152,16,2.84692
-150,16,2.75789
-148,16,2.66421
